Time(s),ErrorX(px),ErrorY(px)
1.4801,119.00,369.00
1.5439,118.00,369.00
1.6076,118.00,369.00
1.6737,118.00,368.00
1.7366,118.00,364.00
1.8003,117.00,330.00
1.8584,116.00,309.00
1.9155,114.00,286.00
1.9732,110.00,235.00
2.0353,109.00,186.00
2.0953,109.00,155.00
2.1551,110.00,129.00
2.2135,112.00,107.00
2.2701,117.00,65.00
2.3265,120.00,41.00
2.3855,123.00,26.00
2.4432,127.00,16.00
2.5045,122.00,-4.00
2.5641,119.00,-11.00
2.6203,119.00,-11.00
2.6780,109.00,-16.00
2.7358,106.00,-15.00
2.7944,105.00,-13.00
2.8506,105.00,-13.00
2.9082,94.00,-11.00
2.9679,87.00,-6.00
3.0319,81.00,-3.00
3.0932,74.00,-2.00
3.1511,57.00,3.00
3.2115,47.00,7.00
3.2733,37.00,13.00
3.3268,33.00,16.00
3.3842,21.00,26.00
3.4420,16.00,32.00
3.5001,13.00,34.00
3.5584,11.00,36.00
3.6116,10.00,38.00
3.6718,7.00,35.00
3.7313,4.00,32.00
3.7917,4.00,28.00
3.8501,6.00,21.00
3.9116,7.00,16.00
3.9713,8.00,14.00
4.0331,10.00,11.00
4.0924,13.00,8.00
4.1505,16.00,7.00
4.2134,16.00,7.00
4.2700,15.00,6.00
4.3304,13.00,4.00
4.3927,13.00,3.00
4.4488,12.00,3.00
4.5127,12.00,2.00
4.5748,12.00,4.00
4.6337,13.00,3.00
4.6923,13.00,4.00
4.7503,13.00,5.00
4.8078,13.00,4.00
4.8646,13.00,4.00
4.9252,12.00,4.00
4.9840,13.00,3.00
5.0432,13.00,3.00
5.1011,14.00,4.00
5.1576,13.00,4.00
5.2145,14.00,4.00
5.2714,13.00,4.00
5.3320,13.00,4.00
5.3909,13.00,4.00
5.4480,12.00,4.00
5.5098,13.00,4.00
5.5762,13.00,4.00
5.6371,13.00,4.00
5.6969,13.00,5.00
5.7579,14.00,5.00
5.8201,14.00,5.00
5.8788,14.00,5.00
5.9333,13.00,4.00
5.9924,13.00,4.00
6.0472,13.00,4.00
6.1060,13.00,4.00
6.1664,13.00,4.00
6.2216,13.00,4.00
6.2829,13.00,5.00
6.3440,13.00,5.00
6.4055,13.00,5.00
6.4619,13.00,5.00
6.5219,13.00,5.00
6.5795,13.00,5.00
6.6357,14.00,5.00
6.6957,14.00,5.00
6.7508,14.00,5.00
6.8112,13.00,5.00
6.8737,13.00,5.00
6.9332,14.00,5.00
6.9921,13.00,5.00
7.0487,13.00,5.00
7.1128,13.00,5.00
7.1709,13.00,5.00
7.2261,13.00,4.00
7.2850,13.00,5.00
7.3440,13.00,5.00
7.4044,13.00,6.00
7.4643,13.00,6.00
7.5199,13.00,6.00
7.5768,13.00,5.00
7.6348,14.00,5.00
7.6939,14.00,5.00
7.7530,14.00,5.00
7.8141,14.00,6.00
7.8699,14.00,6.00
7.9316,14.00,6.00
7.9947,13.00,6.00
8.0557,13.00,6.00
8.1162,13.00,6.00
8.1727,13.00,6.00
8.2306,13.00,6.00
8.2951,13.00,6.00
8.3537,13.00,6.00
8.4127,13.00,7.00
8.4717,14.00,6.00
8.5277,14.00,6.00
8.5854,14.00,6.00
8.6450,14.00,6.00
8.7023,14.00,6.00
8.7616,14.00,6.00
8.8230,14.00,6.00
8.8790,13.00,6.00
8.9376,13.00,7.00
8.9971,13.00,7.00
9.0545,14.00,7.00
9.1111,13.00,6.00
9.1713,13.00,6.00
9.2326,13.00,5.00
9.2874,14.00,5.00
9.3476,14.00,5.00
9.4067,14.00,6.00
9.4711,14.00,7.00
9.5313,14.00,7.00
9.5863,13.00,6.00
9.6494,13.00,6.00
9.7101,13.00,6.00
9.7728,13.00,6.00
9.8324,14.00,5.00
9.8926,13.00,5.00
9.9514,13.00,6.00
10.0101,13.00,6.00
10.0726,13.00,7.00
10.1299,13.00,7.00
10.1874,14.00,7.00
10.2482,14.00,7.00
10.3077,13.00,6.00
10.3685,14.00,6.00
10.4339,13.00,6.00
10.4998,13.00,7.00
10.5624,15.00,8.00
10.6244,15.00,8.00
10.6827,15.00,8.00
10.7413,14.00,8.00
10.8066,14.00,7.00
10.8778,14.00,7.00
10.9400,14.00,6.00
10.9980,13.00,6.00
11.0570,13.00,6.00
11.1146,15.00,8.00
11.1718,15.00,9.00
11.2323,14.00,10.00
11.2935,15.00,10.00
11.3596,15.00,11.00
11.4280,16.00,10.00
11.4933,16.00,8.00
11.5535,16.00,8.00
11.6137,17.00,7.00
11.6753,17.00,8.00
11.7321,17.00,8.00
11.7955,15.00,9.00
11.8571,16.00,10.00
11.9203,14.00,10.00
11.9789,13.00,10.00
12.0358,13.00,9.00
12.0944,13.00,9.00
12.1614,13.00,9.00
12.2211,15.00,9.00
12.2801,16.00,9.00
12.3360,16.00,9.00
12.3917,17.00,9.00
12.4499,16.00,9.00
12.5332,17.00,9.00
12.5920,16.00,9.00
12.6508,17.00,9.00
12.7127,16.00,9.00
12.7715,16.00,9.00
12.8339,16.00,9.00
12.8929,15.00,9.00
12.9568,14.00,9.00
13.0158,14.00,9.00
13.0714,14.00,9.00
13.1316,15.00,9.00
13.1944,15.00,9.00
13.2581,15.00,9.00
13.3226,16.00,8.00
13.3902,16.00,8.00
13.4607,16.00,8.00
13.5214,17.00,9.00
13.5803,16.00,9.00
13.6364,16.00,9.00
13.6991,16.00,9.00
13.7559,15.00,9.00
13.8143,15.00,9.00
13.8717,15.00,9.00
13.9296,15.00,9.00
13.9873,15.00,9.00
14.0610,15.00,8.00
14.1311,14.00,8.00
14.1902,15.00,8.00
14.2492,15.00,9.00
14.3152,16.00,9.00
14.3856,16.00,9.00
14.4488,16.00,9.00
14.5137,15.00,9.00
14.5723,15.00,8.00
14.6336,16.00,9.00
14.6916,15.00,9.00
14.7517,16.00,9.00
14.8118,16.00,9.00
14.8749,15.00,8.00
14.9364,15.00,8.00
15.0006,15.00,8.00
15.0595,14.00,7.00
15.1192,14.00,7.00
15.1786,13.00,7.00
15.2394,13.00,7.00
15.3049,13.00,7.00
15.3636,14.00,7.00
15.4319,14.00,7.00
15.4912,14.00,7.00
15.5466,14.00,7.00
15.6029,14.00,7.00
15.6586,14.00,7.00
15.7201,13.00,7.00
15.7811,14.00,7.00
15.8362,15.00,7.00
15.8954,15.00,7.00
15.9563,15.00,7.00
16.0156,14.00,7.00
16.0746,14.00,7.00
16.1321,14.00,8.00
16.1918,14.00,8.00
16.2511,14.00,7.00
16.3137,13.00,7.00
16.3740,13.00,7.00
16.4342,13.00,7.00
16.4954,14.00,7.00
16.5538,14.00,7.00
16.6114,14.00,7.00
16.6749,15.00,8.00
16.7338,15.00,7.00
16.7924,15.00,7.00
16.8516,15.00,7.00
