Time(s),ErrorX(px),ErrorY(px)
1.5440,-152.00,501.00
1.6080,-156.00,500.00
1.6711,-158.00,500.00
1.7357,-157.00,499.00
1.7963,-151.00,490.00
1.8586,-147.00,481.00
1.9215,-147.00,481.00
1.9813,-129.00,444.00
2.0387,-122.00,417.00
2.1021,-115.00,385.00
2.1622,-112.00,350.00
2.2195,-112.00,350.00
2.2758,-112.00,350.00
2.3283,-112.00,350.00
2.3880,-112.00,350.00
2.4765,-112.00,350.00
2.6003,-36.00,-39.00
2.6601,-31.00,-62.00
2.7185,-27.00,-77.00
2.7750,-22.00,-87.00
2.8386,-16.00,-96.00
2.8954,-11.00,-121.00
2.9538,-10.00,-131.00
3.0107,-10.00,-134.00
3.0679,-10.00,-134.00
3.1259,-10.00,-134.00
3.1831,-10.00,-134.00
3.2418,-10.00,-134.00
3.3027,-10.00,-134.00
3.4210,-36.00,-28.00
3.4787,-38.00,-23.00
3.5396,-42.00,-10.00
3.5958,-44.00,-3.00
3.6533,-44.00,1.00
3.7094,-44.00,5.00
3.7649,-47.00,11.00
3.8209,-49.00,13.00
3.8800,-52.00,15.00
3.9403,-55.00,17.00
4.0260,-51.00,17.00
4.0852,-49.00,17.00
4.1438,-46.00,16.00
4.2070,-47.00,14.00
4.2610,-48.00,13.00
4.3178,-49.00,14.00
4.3800,-49.00,14.00
4.4366,-50.00,15.00
4.5020,-49.00,16.00
4.5599,-47.00,17.00
4.6216,-46.00,17.00
4.6821,-40.00,19.00
4.7383,-36.00,21.00
4.8009,-34.00,22.00
4.8753,-33.00,22.00
4.9408,-32.00,26.00
5.0008,-31.00,28.00
5.0587,-29.00,29.00
5.1199,-26.00,31.00
5.1757,-25.00,31.00
5.2340,-25.00,30.00
5.2939,-22.00,31.00
5.3511,-17.00,27.00
5.4089,-14.00,24.00
5.4943,-13.00,24.00
5.5590,-12.00,18.00
5.6213,-12.00,15.00
5.6970,-14.00,13.00
5.7559,-13.00,12.00
5.8154,-13.00,13.00
5.8801,-12.00,14.00
5.9383,-14.00,17.00
6.0035,-20.00,13.00
6.0667,-27.00,12.00
6.1272,-31.00,10.00
6.1867,-32.00,14.00
6.2451,-33.00,18.00
6.3034,-31.00,21.00
6.3656,-31.00,21.00
6.4268,-31.00,21.00
6.4834,-31.00,21.00
6.5407,-31.00,21.00
6.6013,-31.00,21.00
6.6699,-15.00,23.00
6.7234,-13.00,23.00
6.7834,-13.00,23.00
6.8398,-13.00,22.00
6.9000,-12.00,16.00
6.9583,-11.00,13.00
7.0175,-11.00,12.00
7.1047,-14.00,8.00
7.1635,-15.00,7.00
7.2246,-14.00,7.00
7.2840,-10.00,4.00
7.3451,-8.00,2.00
7.4035,-6.00,3.00
7.4698,-6.00,3.00
7.5287,-5.00,4.00
7.5887,-5.00,5.00
7.6623,-5.00,5.00
7.7223,-7.00,4.00
7.7813,-8.00,4.00
7.8615,-9.00,4.00
7.9218,-8.00,3.00
8.0000,-7.00,2.00
8.0590,-6.00,2.00
8.1230,-7.00,2.00
8.1828,-9.00,3.00
8.2403,-10.00,3.00
8.3011,-10.00,4.00
8.3610,-9.00,5.00
8.4193,-9.00,5.00
8.4815,-8.00,5.00
8.5499,-8.00,7.00
