epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3411,1.0528,4.69596,0.0044,0,0,0,0,0.81145,5.55023,0.00328,6e-05,6e-05,6e-05
2,14.4136,0.97098,4.23231,0.00366,0,0,0,0,0.92341,5.38871,0.00401,0.000137228,0.000137228,0.000137228
3,15.4099,0.86508,4.67381,0.00436,0.00033,0.04545,0.00051,7e-05,0.96446,5.33297,0.00416,0.000211288,0.000211288,0.000211288
4,16.3449,0.90584,3.44787,0.00318,0.00133,0.18182,0.03804,0.00942,0.89387,5.26723,0.00379,0.00028218,0.00028218,0.00028218
5,17.4779,1.04426,3.32105,0.00453,0.003,0.40909,0.23213,0.09207,0.91508,5.19505,0.00396,0.000349904,0.000349904,0.000349904
6,18.3982,1.01798,3.06653,0.00423,0.003,0.40909,0.29981,0.11092,0.92052,5.19158,0.0039,0.00041446,0.00041446,0.00041446
7,19.2944,0.89587,3.00192,0.00359,0.00333,0.45455,0.37254,0.12972,0.94813,5.11027,0.00405,0.000475848,0.000475848,0.000475848
8,20.2028,1.03162,2.80262,0.00401,0.004,0.54545,0.38245,0.14663,1.01248,4.97813,0.00439,0.000534068,0.000534068,0.000534068
9,21.1372,1.07084,2.89165,0.00469,0.005,0.68182,0.48857,0.17112,0.96973,4.96481,0.0041,0.00058912,0.00058912,0.00058912
10,22.0686,1.1206,2.4313,0.00414,0.006,0.81818,0.42572,0.12132,1.11975,4.9756,0.00478,0.000641004,0.000641004,0.000641004
11,23.0692,1.0594,2.17903,0.00365,0.006,0.81818,0.13923,0.03454,1.02736,4.9364,0.00425,0.00068972,0.00068972,0.00068972
12,23.9611,0.98059,2.279,0.0036,0.00567,0.77273,0.01231,0.00526,1.10572,4.93805,0.00458,0.000735268,0.000735268,0.000735268
13,24.8966,0.96055,2.39918,0.00386,0.00533,0.72727,0.04666,0.02689,1.22223,5.08136,0.00538,0.000777648,0.000777648,0.000777648
14,25.7871,0.98275,2.44358,0.00411,0.006,0.81818,0.18605,0.11104,1.21527,4.94116,0.00515,0.00081686,0.00081686,0.00081686
15,26.7233,1.0243,2.12425,0.00416,0.007,0.95455,0.6305,0.40961,1.24151,4.62206,0.00529,0.000852904,0.000852904,0.000852904
16,27.6943,1.04775,2.33688,0.00506,0.00733,1,0.7462,0.43098,1.47449,4.59287,0.00649,0.00088578,0.00088578,0.00088578
17,28.562,0.99725,2.36705,0.00448,0.00733,1,0.80316,0.43904,1.53621,4.63338,0.00705,0.000915488,0.000915488,0.000915488
18,29.4382,1.06857,1.99349,0.00434,0.62034,0.63636,0.81161,0.46135,1.32106,4.39379,0.00586,0.000942028,0.000942028,0.000942028
19,30.2683,1.02111,2.07209,0.00434,0.73669,0.63589,0.78406,0.50856,1.30229,4.18397,0.00564,0.0009654,0.0009654,0.0009654
20,31.1035,1.10817,2.03554,0.00416,0.85145,0.52191,0.80242,0.53765,1.23485,4.09777,0.00541,0.000985604,0.000985604,0.000985604
21,32.0719,1.13352,2.46368,0.00526,0.79178,0.45455,0.80472,0.48296,1.43987,3.97829,0.00644,0.00100264,0.00100264,0.00100264
22,32.9426,0.952,1.76687,0.00325,0.80874,0.57725,0.80577,0.45049,1.52994,3.86506,0.00685,0.00101651,0.00101651,0.00101651
23,33.7723,1.06195,2.43873,0.00528,0.82819,0.65797,0.81076,0.48141,1.50324,3.57024,0.00669,0.00102721,0.00102721,0.00102721
24,34.6246,0.88232,1.89154,0.00366,0.79806,0.7189,0.81241,0.50791,1.39905,3.31283,0.00604,0.00103474,0.00103474,0.00103474
25,35.4782,1.02732,1.73705,0.00401,0.72062,0.82081,0.81714,0.52236,1.41939,3.15658,0.00609,0.0010391,0.0010391,0.0010391
26,36.485,0.97085,1.7628,0.00408,0.71741,0.86364,0.8227,0.49769,1.47569,3.15025,0.00627,0.00101,0.00101,0.00101
27,37.3621,1.02185,1.85112,0.00466,0.70535,0.86364,0.83898,0.46902,1.6291,3.13229,0.00727,0.0009704,0.0009704,0.0009704
28,38.2339,0.88652,1.44998,0.00345,0.76855,0.90573,0.84,0.44817,1.64699,3.18034,0.00761,0.0009308,0.0009308,0.0009308
29,39.0916,0.97721,1.6102,0.00401,0.76011,0.90909,0.85187,0.45786,1.6424,3.13083,0.00767,0.0008912,0.0008912,0.0008912
30,39.9603,0.98133,1.82369,0.00452,0.7489,0.90909,0.865,0.4782,1.59948,2.96696,0.00719,0.0008516,0.0008516,0.0008516
31,40.851,0.92746,1.62223,0.00358,0.76749,0.90909,0.85015,0.47911,1.5677,2.89532,0.00696,0.000812,0.000812,0.000812
32,41.9765,0.93668,1.43897,0.00344,0.7326,0.86364,0.86224,0.49194,1.53324,2.82937,0.00677,0.0007724,0.0007724,0.0007724
33,42.9581,0.96708,1.39295,0.00362,0.70393,0.86364,0.85728,0.48556,1.49543,2.85098,0.00671,0.0007328,0.0007328,0.0007328
34,43.9915,0.85425,1.73938,0.00375,0.71883,0.86364,0.86135,0.45209,1.61532,2.83457,0.00738,0.0006932,0.0006932,0.0006932
35,44.9881,1.02105,1.46935,0.00358,0.73981,0.90485,0.87199,0.44504,1.69043,2.84601,0.00783,0.0006536,0.0006536,0.0006536
36,45.933,1.06207,1.50895,0.00435,0.73761,0.8948,0.86488,0.43633,1.70548,2.80447,0.00801,0.000614,0.000614,0.000614
37,46.9938,0.96365,1.34064,0.00368,0.72843,0.85375,0.8651,0.44409,1.75273,2.61871,0.00823,0.0005744,0.0005744,0.0005744
38,48.008,1.07368,1.2557,0.00356,0.81588,0.80611,0.87397,0.46184,1.64084,2.55025,0.00769,0.0005348,0.0005348,0.0005348
39,49.0629,0.85963,1.33659,0.00345,0.8052,0.81818,0.8702,0.4779,1.5662,2.4659,0.00716,0.0004952,0.0004952,0.0004952
40,50.0149,0.85559,1.81268,0.00413,0.78782,0.81818,0.87442,0.49741,1.508,2.40807,0.00685,0.0004556,0.0004556,0.0004556
41,61.6234,0.8385,2.07553,0.00386,0.81775,0.81589,0.87285,0.49307,1.48904,2.37627,0.0067,0.000416,0.000416,0.000416
42,62.6328,0.85668,2.26658,0.00451,0.81507,0.80184,0.87973,0.49041,1.50808,2.35368,0.00673,0.0003764,0.0003764,0.0003764
43,63.5658,0.83348,1.75859,0.00391,0.81198,0.81818,0.88051,0.46701,1.53852,2.35722,0.00693,0.0003368,0.0003368,0.0003368
44,64.6478,0.87102,1.73666,0.00359,0.7412,0.81818,0.88619,0.45643,1.60676,2.36211,0.00728,0.0002972,0.0002972,0.0002972
45,65.5917,0.78596,1.94916,0.00381,0.76639,0.81818,0.86787,0.44178,1.64414,2.36319,0.00751,0.0002576,0.0002576,0.0002576
46,66.5451,0.90321,1.85396,0.00376,0.77625,0.81818,0.87399,0.44528,1.66333,2.3447,0.00762,0.000218,0.000218,0.000218
47,67.4789,0.88724,1.85269,0.00405,0.72045,0.82008,0.87074,0.45235,1.66192,2.32702,0.0076,0.0001784,0.0001784,0.0001784
48,68.4523,0.79578,1.91995,0.00401,0.81589,0.80617,0.87215,0.4589,1.63718,2.30495,0.00751,0.0001388,0.0001388,0.0001388
49,69.3744,0.86241,1.81451,0.00384,0.7609,0.81818,0.88163,0.45938,1.62326,2.27331,0.00742,9.92e-05,9.92e-05,9.92e-05
50,70.3321,0.91061,1.8563,0.00443,0.76083,0.81818,0.88163,0.46013,1.61218,2.25585,0.00733,5.96e-05,5.96e-05,5.96e-05
