epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.887,1.26375,5.89808,0.00563,0.00067,0.09091,0.0004,6e-05,1.19767,7.31811,0.00497,6e-05,6e-05,6e-05
2,40.9721,1.12103,5.12177,0.00432,0.00067,0.09091,0.00176,0.00062,1.068,6.23587,0.00446,0.000137228,0.000137228,0.000137228
3,59.4847,0.93394,4.846,0.00459,0.42924,0.22727,0.33339,0.2516,1.04089,5.00124,0.00442,0.000211288,0.000211288,0.000211288
4,77.8479,1.02268,2.3888,0.00369,0.63295,0.72727,0.66509,0.46838,1.21106,2.37851,0.00518,0.00028218,0.00028218,0.00028218
5,95.8651,1.06763,1.95109,0.00462,0.71719,0.63636,0.68124,0.47128,1.18734,2.10825,0.00503,0.000349904,0.000349904,0.000349904
6,111.797,1.1,1.72504,0.00442,0.76824,0.60318,0.73528,0.51655,1.1781,1.60089,0.00488,0.00041446,0.00041446,0.00041446
7,130.098,0.98886,1.42813,0.00383,0.89539,0.68182,0.82699,0.56766,1.23394,1.23959,0.00538,0.000475848,0.000475848,0.000475848
8,144.888,1.12571,1.24692,0.00441,0.9906,0.63636,0.77655,0.4956,1.39172,1.45749,0.00603,0.000534068,0.000534068,0.000534068
9,157.459,1.11127,1.07863,0.00511,0.82574,0.86364,0.85745,0.49526,1.51702,1.26973,0.00688,0.00058912,0.00058912,0.00058912
10,178.246,1.0724,0.93987,0.00411,0.79945,0.86364,0.88156,0.53254,1.59436,0.95859,0.0071,0.000641004,0.000641004,0.000641004
11,198.726,1.02354,0.65212,0.00374,0.79809,0.77273,0.85425,0.52216,1.56053,1.02174,0.00708,0.00068972,0.00068972,0.00068972
12,217.118,1.10589,0.71662,0.00431,0.69688,0.77273,0.84768,0.54911,1.40918,1.12209,0.00611,0.000735268,0.000735268,0.000735268
13,233.82,1.05723,0.59017,0.00439,0.86759,0.89396,0.90235,0.55993,1.55242,0.80577,0.00697,0.000777648,0.000777648,0.000777648
14,249.562,1.0341,0.62411,0.00453,0.99859,0.77273,0.92123,0.57066,1.43684,0.9958,0.00628,0.00081686,0.00081686,0.00081686
15,269.745,1.03999,0.53054,0.00443,1,0.84225,0.94506,0.51151,1.5997,0.69785,0.00718,0.000852904,0.000852904,0.000852904
16,286.935,1.06097,0.56585,0.00533,0.80224,0.92234,0.92254,0.49013,1.62455,0.74441,0.00743,0.00088578,0.00088578,0.00088578
17,308.555,1.00369,0.51517,0.00433,0.74457,0.81818,0.87335,0.47826,1.57963,0.80343,0.00719,0.000915488,0.000915488,0.000915488
18,323.903,1.04412,0.48257,0.00427,0.85553,0.86364,0.91501,0.52332,1.53474,0.7297,0.00682,0.000942028,0.000942028,0.000942028
19,346.474,1.04076,0.5586,0.00452,0.7915,0.86364,0.89547,0.5409,1.42904,1.06003,0.0064,0.0009654,0.0009654,0.0009654
20,362.252,1.11456,0.50255,0.00454,0.86741,0.89256,0.90793,0.58602,1.31518,0.84817,0.00577,0.000985604,0.000985604,0.000985604
21,377.646,1.08333,0.55289,0.00509,0.81462,0.99876,0.89149,0.55083,1.36631,0.68184,0.00609,0.00100264,0.00100264,0.00100264
22,396.814,0.96107,0.42507,0.00358,0.86427,0.95455,0.93079,0.55036,1.40023,0.68598,0.0063,0.00101651,0.00101651,0.00101651
23,413.098,1.03767,0.51766,0.00534,0.77415,0.95455,0.89673,0.49669,1.38069,0.8618,0.00619,0.00102721,0.00102721,0.00102721
24,430.966,0.89664,0.44698,0.00387,0.89961,0.86364,0.94173,0.48976,1.61319,0.80974,0.00717,0.00103474,0.00103474,0.00103474
25,451.148,1.12147,0.50634,0.00481,0.86335,0.95455,0.92451,0.49275,1.63372,0.71852,0.00709,0.0010391,0.0010391,0.0010391
26,470.334,1.07452,0.46705,0.00484,0.85353,0.90909,0.89425,0.48394,1.71104,0.71131,0.00758,0.00101,0.00101,0.00101
27,488.939,1.13788,0.55826,0.0056,0.799,0.95455,0.90302,0.49651,1.67667,0.78094,0.00753,0.0009704,0.0009704,0.0009704
28,510.916,1.04238,0.41829,0.0043,0.8987,0.80693,0.89718,0.47824,1.74173,0.77144,0.00804,0.0009308,0.0009308,0.0009308
29,528.71,1.07319,0.44445,0.0047,0.94961,0.8569,0.9244,0.45208,1.7369,0.85583,0.00802,0.0008912,0.0008912,0.0008912
30,549.712,1.0613,0.57643,0.00472,0.84053,0.90909,0.91038,0.45819,1.72771,0.73527,0.0077,0.0008516,0.0008516,0.0008516
31,568.583,1.13783,0.47187,0.00475,0.77551,0.95455,0.89503,0.48426,1.62015,0.73287,0.00708,0.000812,0.000812,0.000812
32,589.057,1.03215,0.39475,0.00415,0.83454,0.86364,0.87341,0.53324,1.53974,0.70334,0.00663,0.0007724,0.0007724,0.0007724
33,607.564,1.01802,0.37978,0.00408,0.94358,0.81818,0.89949,0.52676,1.51856,0.6895,0.00664,0.0007328,0.0007328,0.0007328
34,630.163,0.99825,0.4402,0.00447,0.90413,0.85759,0.87621,0.47856,1.65536,0.74996,0.00744,0.0006932,0.0006932,0.0006932
35,648.644,1.04188,0.40187,0.00396,0.83245,0.90356,0.89408,0.45921,1.77669,0.71071,0.00818,0.0006536,0.0006536,0.0006536
36,668.88,1.01815,0.36032,0.00441,0.79412,0.81818,0.8032,0.44539,1.7391,0.71514,0.00801,0.000614,0.000614,0.000614
37,684.249,0.90238,0.35896,0.00356,0.77474,0.77273,0.80057,0.46757,1.63415,0.70504,0.00748,0.0005744,0.0005744,0.0005744
38,701.687,0.93269,0.36013,0.00329,0.84832,0.81818,0.82553,0.51351,1.55213,0.60922,0.00706,0.0005348,0.0005348,0.0005348
39,718.26,0.87874,0.36211,0.00362,0.85729,0.90909,0.91137,0.5487,1.50225,0.59316,0.00672,0.0004952,0.0004952,0.0004952
40,738.708,0.93847,0.4224,0.00494,0.89849,0.90909,0.92806,0.54155,1.50472,0.56371,0.00667,0.0004556,0.0004556,0.0004556
41,762.756,0.8369,0.45178,0.00408,0.9341,0.90909,0.92787,0.55276,1.55621,0.55587,0.00697,0.000416,0.000416,0.000416
42,778.469,0.99631,0.46712,0.00631,0.95218,0.90909,0.92768,0.54195,1.57838,0.54441,0.00704,0.0003764,0.0003764,0.0003764
43,793.081,0.78448,0.34451,0.00387,0.95197,0.90125,0.93499,0.52839,1.57286,0.56262,0.00694,0.0003368,0.0003368,0.0003368
44,807.653,0.87982,0.32325,0.00385,0.95228,0.9071,0.93936,0.53884,1.55263,0.52155,0.00675,0.0002972,0.0002972,0.0002972
45,821.057,0.79483,0.32682,0.00405,0.91108,0.932,0.93945,0.55575,1.52188,0.5221,0.00648,0.0002576,0.0002576,0.0002576
46,836.216,0.77598,0.33629,0.00338,0.89473,0.95455,0.93945,0.54316,1.49605,0.52642,0.00637,0.000218,0.000218,0.000218
47,849.557,0.82446,0.32142,0.00384,0.90868,0.90476,0.93515,0.54312,1.4822,0.54648,0.00634,0.0001784,0.0001784,0.0001784
48,863.638,0.88309,0.31035,0.00457,0.90879,0.90595,0.93532,0.54966,1.48443,0.54141,0.00634,0.0001388,0.0001388,0.0001388
