epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.19208,1.04279,6.35438,0.00449,0.00222,0.21053,0.03311,0.0241,0.89727,5.5321,0.00454,0.0001,0.0001,0.0001
2,7.55424,1.00455,5.46371,0.004,0.00833,0.78947,0.42997,0.3005,0.80685,5.13948,0.00404,0.000218548,0.000218548,0.000218548
3,8.81565,1.00786,5.1801,0.00393,0.01028,0.97368,0.53639,0.36959,0.90133,5.05482,0.00458,0.000335512,0.000335512,0.000335512
4,10.0148,1.02533,5.23995,0.0046,0.01028,0.97368,0.63265,0.42952,0.82096,4.9379,0.00413,0.000450892,0.000450892,0.000450892
5,11.5014,1.00632,4.4172,0.00382,0.01056,1,0.64991,0.42038,0.99757,4.84763,0.00528,0.000564688,0.000564688,0.000564688
6,12.7109,1.01501,4.57764,0.00394,0.01,0.94737,0.62701,0.40887,0.88566,4.86829,0.00457,0.0006769,0.0006769,0.0006769
7,13.8972,1.05731,4.67887,0.00459,0.27853,0.89474,0.61075,0.42961,0.94698,4.64462,0.00508,0.000787528,0.000787528,0.000787528
8,15.2488,1.08584,4.08284,0.00402,0.31503,0.76316,0.54834,0.38448,0.9529,4.63656,0.00502,0.000896572,0.000896572,0.000896572
9,16.4943,1.07148,4.09804,0.0043,0.41925,0.55263,0.50576,0.34786,0.97634,4.73777,0.00517,0.00100403,0.00100403,0.00100403
10,17.8212,1.04529,4.41441,0.0046,0.47674,0.44737,0.55363,0.33658,0.97204,4.68131,0.00513,0.00110991,0.00110991,0.00110991
11,18.9983,1.02321,3.99813,0.00431,0.65879,0.34211,0.62572,0.40459,0.94144,4.53455,0.00503,0.0012142,0.0012142,0.0012142
12,20.1636,0.99125,3.91464,0.00421,0.66561,0.36842,0.68386,0.40349,1.19164,4.41972,0.0066,0.00131691,0.00131691,0.00131691
13,21.377,1.03408,3.84557,0.00408,0.75095,0.47618,0.76068,0.45346,1.26538,4.24763,0.00691,0.00141803,0.00141803,0.00141803
