epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.48251,0.95324,5.60159,0.0046,0.00399,0.58871,0.18962,0.11528,0.71599,5.54512,0.00398,0.00026,0.00026,0.00026
2,10.9421,0.91407,4.55697,0.00461,0.00541,0.79839,0.19625,0.13958,0.7947,5.32133,0.00445,0.000536436,0.000536436,0.000536436
3,13.3228,1.00416,4.06434,0.00546,0.0053,0.78226,0.11028,0.08872,0.84545,5.41795,0.00456,0.000809176,0.000809176,0.000809176
4,15.6626,1.01107,3.47112,0.005,0.57674,0.04032,0.3057,0.22843,0.86039,5.10109,0.00491,0.00107822,0.00107822,0.00107822
5,17.9859,1.07771,3.14866,0.00571,0.58211,0.07873,0.47404,0.32267,1.02885,4.94421,0.00554,0.00134357,0.00134357,0.00134357
6,20.9054,1.05037,2.83124,0.00516,0.90143,0.4425,0.83483,0.64517,0.81261,4.01013,0.00451,0.00160522,0.00160522,0.00160522
7,23.217,1.04922,2.70997,0.00528,0.91411,0.7725,0.91683,0.67259,0.96035,3.41826,0.00542,0.00186318,0.00186318,0.00186318
8,27.9117,1.13109,2.54049,0.00589,0.86779,0.77419,0.90268,0.63034,1.10072,2.88986,0.00666,0.0019076,0.0019076,0.0019076
9,30.213,1.10795,2.25797,0.00545,0.89979,0.83065,0.93308,0.70023,0.8886,2.10288,0.00519,0.0018944,0.0018944,0.0018944
10,32.6479,1.02624,2.06577,0.00578,0.74129,0.83189,0.87977,0.67273,0.8748,1.7676,0.00489,0.0018812,0.0018812,0.0018812
11,34.9411,1.06652,1.8478,0.0056,0.77804,0.91129,0.91431,0.66788,0.93962,1.4496,0.0054,0.001868,0.001868,0.001868
12,37.2491,1.02095,1.70376,0.00521,0.79986,0.85484,0.90059,0.64449,1.02717,1.33704,0.00587,0.0018548,0.0018548,0.0018548
13,39.5189,1.11085,1.70524,0.00612,0.81593,0.85798,0.91138,0.65434,1.01575,1.14694,0.00589,0.0018416,0.0018416,0.0018416
