epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8955,1.03009,6.59167,0.00493,0.4848,0.34677,0.32749,0.2309,1.11017,4.99706,0.00613,0.00026,0.00026,0.00026
2,163.88,1.02942,2.85086,0.00529,0.86515,0.70968,0.86657,0.62988,0.98259,2.49755,0.00563,0.000536436,0.000536436,0.000536436
3,238.395,1.0901,1.57441,0.00605,0.81026,0.76613,0.85005,0.49741,1.34267,1.57298,0.00823,0.000809176,0.000809176,0.000809176
4,288.801,1.16104,0.96733,0.00636,0.64103,0.45161,0.50519,0.34081,1.42465,2.23587,0.00896,0.00107822,0.00107822,0.00107822
5,376.798,1.20674,0.8094,0.00693,0.79407,0.77745,0.87797,0.57769,1.22437,0.83589,0.00739,0.00134357,0.00134357,0.00134357
6,441.771,1.2496,0.7939,0.00658,0.773,0.74194,0.85993,0.57077,1.20175,1.22402,0.00765,0.00160522,0.00160522,0.00160522
7,536.816,1.2029,0.89514,0.00703,0.68151,0.76613,0.76024,0.49823,1.25903,1.03188,0.00789,0.00186318,0.00186318,0.00186318
8,622.346,1.18971,0.9103,0.00677,0.75707,0.7791,0.84404,0.55281,1.13681,1.79205,0.00687,0.0019076,0.0019076,0.0019076
9,712.281,1.2167,0.75109,0.00675,0.78761,0.90323,0.92155,0.63321,1.16128,0.71154,0.00709,0.0018944,0.0018944,0.0018944
10,791.783,1.23601,0.85932,0.00745,0.81621,0.78794,0.87923,0.58656,1.18738,0.76249,0.00702,0.0018812,0.0018812,0.0018812
11,873.675,1.22427,0.74957,0.00708,0.8323,0.8629,0.9005,0.54429,1.46703,0.7694,0.00872,0.001868,0.001868,0.001868
12,960.413,1.1987,0.68294,0.0067,0.90931,0.88941,0.95088,0.65611,1.19776,0.55045,0.00769,0.0018548,0.0018548,0.0018548
13,1052.7,1.1675,0.71303,0.00699,0.8276,0.89516,0.9143,0.64139,1.10316,0.73858,0.00703,0.0018416,0.0018416,0.0018416
14,1119.85,1.1852,0.6491,0.0066,0.78768,0.79032,0.86296,0.58573,1.18739,1.85406,0.00714,0.0018284,0.0018284,0.0018284
15,1222.32,1.14176,0.66573,0.00644,0.69223,0.72581,0.76108,0.46117,1.3112,1.34199,0.00801,0.0018152,0.0018152,0.0018152
16,1319.46,1.21722,0.65774,0.00669,0.83663,0.80645,0.87783,0.54604,1.30668,0.91885,0.00761,0.001802,0.001802,0.001802
17,1413.87,1.28253,0.71969,0.00751,0.85582,0.86162,0.92456,0.6194,1.11689,0.59328,0.00785,0.0017888,0.0017888,0.0017888
18,1500.38,1.15958,0.59247,0.00684,0.92062,0.87903,0.95853,0.69209,1.00878,0.64243,0.00608,0.0017756,0.0017756,0.0017756
19,1599.94,1.17222,0.56784,0.00716,0.89739,0.83065,0.93736,0.67101,1.07041,0.54847,0.00666,0.0017624,0.0017624,0.0017624
20,1695.81,1.26822,0.62619,0.00774,0.81085,0.82969,0.85821,0.59783,1.029,0.75812,0.00617,0.0017492,0.0017492,0.0017492
21,1805.94,1.06467,0.53407,0.00572,0.9043,0.91935,0.9713,0.73666,0.9589,0.45639,0.00583,0.001736,0.001736,0.001736
22,1887.15,1.08673,0.56243,0.00627,0.89233,0.8689,0.94918,0.69475,0.97384,0.55083,0.00596,0.0017228,0.0017228,0.0017228
23,1988.72,1.0771,0.5643,0.00677,0.92949,0.8629,0.96088,0.69304,1.00929,0.5426,0.00621,0.0017096,0.0017096,0.0017096
24,2070.92,1.10936,0.59995,0.00622,0.91872,0.8629,0.95945,0.72957,0.91677,0.54524,0.00524,0.0016964,0.0016964,0.0016964
25,2145.51,1.07559,0.5166,0.00595,0.8754,0.90655,0.96128,0.72518,0.93243,0.4702,0.00567,0.0016832,0.0016832,0.0016832
26,2230.58,1.06949,0.48944,0.00597,0.8818,0.91129,0.94433,0.70453,0.95445,0.54053,0.00557,0.00167,0.00167,0.00167
27,2306.71,1.06531,0.47621,0.00612,0.85741,0.94355,0.95516,0.72349,0.92849,0.444,0.00556,0.0016568,0.0016568,0.0016568
28,2384.51,1.07165,0.4835,0.00623,0.87359,0.91935,0.95018,0.70193,0.98702,0.5047,0.00579,0.0016436,0.0016436,0.0016436
29,2486.71,1.03886,0.5019,0.00596,0.87739,0.84677,0.92937,0.70979,0.88302,0.51489,0.00525,0.0016304,0.0016304,0.0016304
30,2574.99,1.04109,0.48481,0.00587,0.8491,0.94355,0.96548,0.72449,0.93111,0.46137,0.00563,0.0016172,0.0016172,0.0016172
31,2652.18,1.02698,0.4724,0.00596,0.83286,0.88411,0.91002,0.68045,0.97126,0.53622,0.00547,0.001604,0.001604,0.001604
32,2723.93,1.03214,0.48831,0.00572,0.86259,0.87903,0.92515,0.70068,0.90341,0.64156,0.00512,0.0015908,0.0015908,0.0015908
33,2800.66,1.01399,0.49194,0.00554,0.76389,0.91321,0.9142,0.70133,0.86837,0.55673,0.00488,0.0015776,0.0015776,0.0015776
34,2883.73,1.01379,0.5126,0.00505,0.91034,0.8871,0.97335,0.75463,0.87014,0.42212,0.00511,0.0015644,0.0015644,0.0015644
35,2975.52,1.0029,0.43749,0.00525,0.93814,0.91129,0.98213,0.75095,0.88422,0.35788,0.0049,0.0015512,0.0015512,0.0015512
36,3025.48,0.93323,0.43816,0.00514,0.92637,0.91323,0.97086,0.74068,0.89288,0.38763,0.00524,0.001538,0.001538,0.001538
37,3099.34,0.98893,0.45519,0.00608,0.95866,0.93513,0.98733,0.7782,0.84197,0.31976,0.00475,0.0015248,0.0015248,0.0015248
38,3181.86,0.92324,0.42375,0.00496,0.94419,0.94355,0.98634,0.74833,0.89423,0.36299,0.005,0.0015116,0.0015116,0.0015116
39,3269.54,0.98837,0.44848,0.00565,0.94102,0.92742,0.9717,0.75681,0.84333,0.43885,0.00483,0.0014984,0.0014984,0.0014984
40,3358.01,0.97978,0.43076,0.00556,0.92053,0.9341,0.97058,0.75089,0.87559,0.38757,0.00496,0.0014852,0.0014852,0.0014852
41,3443.64,0.95122,0.40909,0.00464,0.90733,0.95161,0.97786,0.73957,0.9059,0.36423,0.00522,0.001472,0.001472,0.001472
42,3542.26,0.94747,0.43779,0.0051,0.98057,0.89516,0.97619,0.73904,0.90019,0.3932,0.00512,0.0014588,0.0014588,0.0014588
43,3644.88,0.95168,0.4098,0.00574,0.94296,0.9333,0.98176,0.76805,0.84008,0.38641,0.00464,0.0014456,0.0014456,0.0014456
44,3733.57,0.919,0.43302,0.00518,0.88267,0.91003,0.94044,0.7393,0.84244,0.53341,0.00483,0.0014324,0.0014324,0.0014324
45,3846.26,0.93027,0.40391,0.00552,0.93949,0.91129,0.97673,0.76017,0.8535,0.39004,0.00495,0.0014192,0.0014192,0.0014192
46,3935.95,0.95917,0.41036,0.00547,0.94373,0.94672,0.98561,0.7756,0.83302,0.34662,0.00477,0.001406,0.001406,0.001406
47,4043.18,0.90469,0.40611,0.00493,0.93808,0.94355,0.98081,0.75332,0.87887,0.36801,0.00486,0.0013928,0.0013928,0.0013928
48,4139.27,0.9568,0.47094,0.00525,0.92483,0.93548,0.97076,0.75673,0.86276,0.39111,0.0048,0.0013796,0.0013796,0.0013796
49,4257.78,0.85619,0.42208,0.00463,0.92881,0.94698,0.98641,0.79371,0.80938,0.36074,0.0045,0.0013664,0.0013664,0.0013664
50,4338.77,0.94077,0.43548,0.0048,0.94194,0.91593,0.96258,0.76483,0.79223,0.39847,0.00457,0.0013532,0.0013532,0.0013532
51,4419.09,0.89693,0.40688,0.00511,0.9745,0.92465,0.98068,0.79528,0.79792,0.30171,0.00448,0.00134,0.00134,0.00134
52,4520.61,0.95981,0.39884,0.00502,0.90073,0.95131,0.97493,0.77702,0.79255,0.36423,0.00455,0.0013268,0.0013268,0.0013268
53,4637.16,0.89257,0.41967,0.00472,0.96614,0.9203,0.98331,0.79376,0.78581,0.32255,0.0044,0.0013136,0.0013136,0.0013136
54,4722.31,0.84785,0.38772,0.00469,0.97066,0.95161,0.98559,0.78099,0.80137,0.30711,0.00449,0.0013004,0.0013004,0.0013004
55,4820.22,0.79906,0.33908,0.00428,0.96351,0.98387,0.99281,0.80008,0.75818,0.32835,0.00434,0.0012872,0.0012872,0.0012872
56,4913.55,0.89374,0.39194,0.00506,0.97313,0.94355,0.98854,0.80157,0.77142,0.29684,0.00428,0.001274,0.001274,0.001274
57,5033.88,0.9249,0.40565,0.00525,0.94218,0.95161,0.98035,0.79056,0.74784,0.34413,0.00426,0.0012608,0.0012608,0.0012608
58,5111.63,0.85697,0.35822,0.00461,0.93184,0.98387,0.98641,0.8042,0.7677,0.30306,0.00431,0.0012476,0.0012476,0.0012476
59,5200.18,0.81974,0.39388,0.00446,0.95215,0.96282,0.98865,0.80309,0.75364,0.26975,0.00414,0.0012344,0.0012344,0.0012344
60,5304.74,0.81255,0.31675,0.0043,0.95051,0.95161,0.98712,0.78669,0.8196,0.31788,0.00463,0.0012212,0.0012212,0.0012212
61,5414.15,0.85451,0.34851,0.00431,0.97252,0.96774,0.99122,0.80918,0.76027,0.26515,0.00433,0.001208,0.001208,0.001208
62,5505.46,0.83366,0.33034,0.00456,0.96786,0.97156,0.99235,0.81295,0.72732,0.25547,0.00406,0.0011948,0.0011948,0.0011948
63,5606.74,0.79251,0.35017,0.00407,0.9583,0.96774,0.99021,0.80765,0.75218,0.26861,0.00424,0.0011816,0.0011816,0.0011816
64,5651.7,0.81016,0.36207,0.00442,0.9581,0.96774,0.99064,0.81501,0.73347,0.26531,0.00406,0.0011684,0.0011684,0.0011684
65,5767.49,0.79199,0.35461,0.00428,0.95032,0.98387,0.99112,0.81999,0.72243,0.26905,0.004,0.0011552,0.0011552,0.0011552
66,5861,0.81708,0.34667,0.00463,0.93714,0.96774,0.98313,0.78671,0.78157,0.28698,0.00427,0.001142,0.001142,0.001142
67,5996.14,0.83868,0.34533,0.00438,0.96737,0.95161,0.98736,0.81632,0.73155,0.31272,0.00421,0.0011288,0.0011288,0.0011288
68,6113.97,0.7733,0.31124,0.00395,0.96572,0.96774,0.99038,0.80618,0.74193,0.27227,0.00431,0.0011156,0.0011156,0.0011156
69,6236.52,0.7644,0.30347,0.00393,0.96789,0.97235,0.9906,0.80586,0.72552,0.26394,0.00406,0.0011024,0.0011024,0.0011024
70,6336.91,0.79678,0.32832,0.00426,0.96713,0.94923,0.9878,0.80766,0.74972,0.30753,0.0041,0.0010892,0.0010892,0.0010892
71,6437.79,0.75863,0.30251,0.00381,0.95124,0.95161,0.98735,0.80342,0.74522,0.30806,0.00414,0.001076,0.001076,0.001076
72,6536.05,0.78375,0.32887,0.00407,0.96047,0.97964,0.99257,0.82763,0.69184,0.25326,0.00376,0.0010628,0.0010628,0.0010628
73,6646.58,0.79145,0.34424,0.00427,0.99137,0.92602,0.99046,0.81036,0.72518,0.26848,0.00399,0.0010496,0.0010496,0.0010496
74,6760.39,0.7494,0.29003,0.00422,0.96399,0.97581,0.99076,0.81376,0.73229,0.26844,0.00399,0.0010364,0.0010364,0.0010364
75,6861.55,0.74449,0.31641,0.00398,0.92632,0.99194,0.99186,0.82897,0.68094,0.26088,0.00365,0.0010232,0.0010232,0.0010232
76,6948.52,0.73322,0.31864,0.00407,0.95287,0.97833,0.99196,0.82101,0.70173,0.25915,0.00399,0.00101,0.00101,0.00101
77,7062.97,0.75843,0.32942,0.00435,0.979,0.94355,0.98896,0.82628,0.70208,0.26984,0.00404,0.0009968,0.0009968,0.0009968
78,7146.3,0.76775,0.32771,0.004,0.98958,0.97581,0.99347,0.82058,0.70467,0.22662,0.00382,0.0009836,0.0009836,0.0009836
79,7223.04,0.75621,0.35803,0.004,0.98355,0.96425,0.99218,0.81241,0.73105,0.24094,0.00403,0.0009704,0.0009704,0.0009704
80,7314.5,0.77327,0.31947,0.00414,0.98359,0.96675,0.99328,0.82662,0.70888,0.24726,0.00387,0.0009572,0.0009572,0.0009572
81,7398.8,0.74486,0.33589,0.00398,0.9525,0.97581,0.99217,0.82451,0.70102,0.25654,0.00378,0.000944,0.000944,0.000944
82,7508.4,0.76256,0.32101,0.00381,0.95297,0.98056,0.99005,0.82658,0.66904,0.25301,0.00373,0.0009308,0.0009308,0.0009308
83,7594.43,0.77286,0.32242,0.0043,0.96708,0.95968,0.98821,0.82723,0.67933,0.26194,0.00376,0.0009176,0.0009176,0.0009176
84,7699.92,0.76137,0.32235,0.00382,0.93054,0.9724,0.98389,0.82486,0.68951,0.28817,0.00372,0.0009044,0.0009044,0.0009044
85,7806.92,0.78542,0.35093,0.00392,0.95448,0.98387,0.99136,0.83543,0.67385,0.24254,0.00375,0.0008912,0.0008912,0.0008912
86,7922.82,0.78904,0.32962,0.00418,0.94993,0.95968,0.99008,0.81816,0.70193,0.25864,0.00388,0.000878,0.000878,0.000878
87,8002.44,0.69994,0.26932,0.00366,0.97523,0.95235,0.98965,0.82209,0.68954,0.26759,0.00376,0.0008648,0.0008648,0.0008648
88,8082.73,0.66589,0.25192,0.00361,0.98354,0.96392,0.99271,0.82278,0.69198,0.23699,0.00369,0.0008516,0.0008516,0.0008516
89,8159.8,0.72081,0.29375,0.00366,0.97532,0.95595,0.99193,0.82728,0.6728,0.246,0.00366,0.0008384,0.0008384,0.0008384
90,8263.73,0.71121,0.28106,0.0037,0.95903,0.94386,0.99033,0.82713,0.66005,0.24972,0.00357,0.0008252,0.0008252,0.0008252
91,8380.96,0.70876,0.26645,0.00373,0.95178,0.95508,0.99013,0.82606,0.67807,0.25821,0.00371,0.000812,0.000812,0.000812
92,8458.61,0.70374,0.26768,0.00387,1,0.96734,0.99415,0.83591,0.67795,0.22451,0.0037,0.0007988,0.0007988,0.0007988
93,8544.14,0.65884,0.26507,0.00344,0.99726,0.98387,0.99461,0.84234,0.65132,0.22602,0.00346,0.0007856,0.0007856,0.0007856
94,8629.27,0.64491,0.28327,0.00339,0.98838,0.94355,0.99107,0.82352,0.6808,0.27312,0.00354,0.0007724,0.0007724,0.0007724
95,8736.6,0.68955,0.29367,0.00374,0.96758,0.95968,0.99234,0.83513,0.67423,0.23639,0.00359,0.0007592,0.0007592,0.0007592
96,8838.12,0.65549,0.2545,0.00336,0.95147,1,0.99269,0.83293,0.66477,0.23146,0.00356,0.000746,0.000746,0.000746
97,8936.57,0.68292,0.28639,0.00339,0.99143,0.93349,0.99118,0.83118,0.64344,0.25972,0.0034,0.0007328,0.0007328,0.0007328
98,9013.76,0.67559,0.29279,0.00324,0.99162,0.95426,0.99351,0.84372,0.64051,0.22056,0.00339,0.0007196,0.0007196,0.0007196
99,9089.03,0.65113,0.26512,0.00316,0.97875,0.94355,0.99071,0.84337,0.63884,0.24545,0.00351,0.0007064,0.0007064,0.0007064
100,9181.17,0.68227,0.29486,0.00361,0.96055,0.9817,0.99301,0.85165,0.62572,0.21799,0.00335,0.0006932,0.0006932,0.0006932
101,9294.11,0.64211,0.25981,0.00328,0.9915,0.97581,0.9939,0.84964,0.62846,0.20355,0.00327,0.00068,0.00068,0.00068
102,9381.21,0.6771,0.26854,0.00365,0.98297,0.95968,0.99286,0.86514,0.57508,0.2142,0.00297,0.0006668,0.0006668,0.0006668
103,9480.76,0.64922,0.24868,0.00332,0.9914,0.94355,0.99201,0.86074,0.5964,0.22332,0.00308,0.0006536,0.0006536,0.0006536
104,9562.52,0.67305,0.26701,0.0036,0.97541,0.95985,0.99301,0.83984,0.62079,0.22103,0.00322,0.0006404,0.0006404,0.0006404
105,9663.1,0.69158,0.27533,0.00367,0.98143,0.98387,0.99412,0.84382,0.6122,0.20579,0.00311,0.0006272,0.0006272,0.0006272
106,9740.11,0.66946,0.28569,0.00363,0.97698,0.98387,0.99339,0.85452,0.61278,0.20958,0.00323,0.000614,0.000614,0.000614
107,9834.35,0.64681,0.2612,0.00298,0.99172,0.96593,0.99277,0.85126,0.60739,0.21745,0.00318,0.0006008,0.0006008,0.0006008
108,9887.47,0.62281,0.2401,0.00318,0.93847,0.98403,0.99082,0.8464,0.61051,0.22779,0.00315,0.0005876,0.0005876,0.0005876
109,9988,0.62738,0.25445,0.00327,0.96526,0.96774,0.99008,0.84975,0.57656,0.23493,0.00298,0.0005744,0.0005744,0.0005744
110,10055,0.62213,0.24427,0.003,0.96218,0.97581,0.9926,0.84088,0.62213,0.215,0.00321,0.0005612,0.0005612,0.0005612
111,10160.1,0.66917,0.27194,0.00328,0.98608,0.97581,0.99388,0.86612,0.59649,0.19563,0.00306,0.000548,0.000548,0.000548
112,10242.7,0.65595,0.27351,0.00367,0.98347,0.98387,0.99391,0.85094,0.61144,0.2049,0.00318,0.0005348,0.0005348,0.0005348
113,10343,0.64418,0.23243,0.00309,0.96733,0.95161,0.99163,0.84416,0.58989,0.23679,0.00314,0.0005216,0.0005216,0.0005216
114,10392.6,0.63169,0.25662,0.00322,1,0.9409,0.99245,0.85294,0.58692,0.23292,0.00308,0.0005084,0.0005084,0.0005084
115,10501.3,0.59752,0.22609,0.00297,0.97429,0.97581,0.99309,0.8554,0.5886,0.2087,0.0031,0.0004952,0.0004952,0.0004952
116,10588.3,0.58837,0.235,0.00313,0.96825,0.9837,0.9929,0.85124,0.59451,0.21027,0.00315,0.000482,0.000482,0.000482
117,10696,0.58185,0.22291,0.00291,0.99173,0.96746,0.99374,0.85796,0.58483,0.20091,0.00301,0.0004688,0.0004688,0.0004688
118,10754.3,0.5883,0.27727,0.00309,0.98181,1,0.99468,0.85585,0.59783,0.17987,0.00311,0.0004556,0.0004556,0.0004556
119,10857.1,0.59713,0.24521,0.00298,1,0.97569,0.99453,0.86668,0.56968,0.18377,0.00297,0.0004424,0.0004424,0.0004424
120,10951.7,0.62223,0.2227,0.00327,1,0.9744,0.99422,0.86563,0.5759,0.19519,0.00302,0.0004292,0.0004292,0.0004292
121,11060.1,0.61479,0.24882,0.00329,0.97615,0.99023,0.99428,0.86269,0.59137,0.19849,0.00316,0.000416,0.000416,0.000416
122,11129,0.61414,0.24339,0.00311,0.97621,0.99259,0.99412,0.86786,0.57473,0.18894,0.00292,0.0004028,0.0004028,0.0004028
123,11228.4,0.56435,0.2311,0.00291,0.96093,0.99194,0.99372,0.86588,0.56417,0.20137,0.00288,0.0003896,0.0003896,0.0003896
